Imagen,Varianza,Media,Desviación estándar,Entropía,Contraste,Homogeneidad,Disimilitud,Energía,Correlación,Media GLCM,Desviación GLCM,Entropía GLCM,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,HOG_mean,HOG_std,KAZE_count,KAZE_mean,KAZE_std,ORB_count,ORB_mean,ORB_std,AKAZE_count,AKAZE_mean,AKAZE_std,LoG_mean,LoG_std,Distancia con la imagen original
gradient.png,263.6680135179806,48.35917286948215,16.23785741771311,-28681034.0,53.69323903140733,0.4884795279164478,4.07416287061456,0.05862261791656774,0.8980327125484605,1.52587890625e-05,0.0002284856598385383,6.801659406218991,0.0006513331976382871,1.1784303731723684e-08,1.7989472403186933e-11,1.9988302804381738e-12,1.1985967429760976e-23,2.1698408634806811e-16,7.303256166279883e-33,0.14762763679027557,0.07684305310249329,21,0.0724187046289444,0.10188489407300949,195,126.43589743589743,74.04079172712312,11,123.76154992548435,95.00064983688698,0.02961429765553477,5.417898012480804,0.0
edges.png,12699.715504324067,67.86331250248776,112.69301444332771,-56684796.0,23249.568448813236,0.6424573486172727,91.17477823064013,0.6160982871932738,0.08488858547090619,1.52587890625e-05,0.002406585561187296,1.1554661427165778,0.0024364499261352846,3.4312674065775016e-07,1.1646527481067062e-11,1.144558242437455e-10,3.0563819396429443e-21,5.466164126294888e-14,2.849768298482398e-21,0.12252037972211838,0.11262228339910507,878,0.07506587356328964,0.09995055943727493,435,129.18189655172415,74.47758835057721,543,123.53835703287746,93.00831484203682,0.026509572901325478,64.77215979859636,0.001785116759247878
binary_resized.png,60.10725900691354,254.56264444444443,7.752887140086171,-1523155800.0,16.451747356705624,0.9945279136807241,0.24238731218697832,0.9937562850441695,0.8601563722152902,1.5258789062499997e-05,0.0038818304987692357,0.08422414530490721,0.0006540984373542239,6.216263556583854e-13,2.462159146344941e-16,8.624677549818331e-17,-7.530547038768533e-33,-6.685681649860754e-23,-1.0062305271258661e-32,0.004101563710719347,0.03540579974651337,75,0.049645304679870605,0.11471854150295258,181,65.8736187845304,67.45020350749685,33,95.17337307501242,89.44535861209518,0.0010694444444444445,3.6980327308598553,2.765264823138277e-06
emboss.png,2992.854906437646,179.3298969072165,54.70699138535811,-141679870.0,4169.076900023975,0.06376722437885035,46.23397666426916,0.03711451920791281,0.30422968910443476,1.52587890625e-05,0.00014417337169158484,9.517681653628154,0.0008159233752805799,4.9905651343459064e-08,3.162387386200157e-14,3.2508536926083326e-14,5.860746878184149e-28,6.679897940244056e-18,-8.619515354818243e-28,0.13957326114177704,0.09067690372467041,104,0.07135722041130066,0.10263112187385559,406,129.53086514778326,74.09863098495893,133,118.3026007642056,95.58161281277647,-0.028420172750069656,41.99907487850023,0.00016459018205700784
RGB.png,2291.6316543579733,170.58878318672134,47.87098969478251,-133221330.0,378.2588308159513,0.1093992033277956,13.699932070646526,0.017059547083051893,0.6014820343410126,1.5258789062500003e-05,6.486837794926919e-05,8.542604332601194,0.0006914505525230138,3.44484292236762e-08,7.669414784402014e-15,4.0379915520545516e-14,-1.0396848635003728e-28,6.8654407168012505e-18,7.029596430439882e-28,0.1445213258266449,0.0825517550110817,4,0.0536462664604187,0.11290295422077179,227,135.25936123348018,74.80416922841407,1,91.26229508196721,88.49097418813619,-0.003900808024519365,9.829564215777111,4.0117361286729966e-05
dilated.png,369.1462952894694,205.65368387533337,19.21318024923176,-165248080.0,18.348377687205303,0.7014218658276801,1.896128026852074,0.08139753357549499,0.9750589714811595,1.52587890625e-05,0.000317592771492845,6.014369069167559,0.000681060944857185,3.667560412496896e-08,0.0,0.0,0.0,0.0,0.0,0.12832139432430267,0.10580421984195709,5,0.04989539086818695,0.11460999399423599,11,135.15625,76.1139323617816,1,95.22950819672131,89.17939066527792,0.013414003104724754,3.3849382224687785,2.9727757639752444e-05
gaussian_blur.png,2116.5801493503545,170.58959253804613,46.00630553902752,-133139550.0,12.055182610085511,0.36052874002081803,2.4837369136098455,0.04106743217143869,0.9767457603072878,1.52587890625e-05,0.00015969231566539052,6.722602151899354,0.000681060944857185,3.667560412496896e-08,0.0,0.0,0.0,0.0,0.0,0.12716509401798248,0.10726884752511978,2,0.05260445177555084,0.11339211463928223,2,133.59375,73.66281260539472,0,0.0,0.0,-0.0013334394777693747,3.3963956683217855,2.9727757639752444e-05
segmentation_by_color_range.png,5969.62101934958,136.48868898353433,77.26332260102188,-106120230.0,1337.532386318229,0.26565717534163114,14.952988891552785,0.16639642751285733,0.8669136743128797,1.52587890625e-05,0.0006498069159487437,7.369028028356911,0.0008015365463358335,7.942481168267964e-08,4.070646679331237e-12,4.775031905098581e-12,-5.208945130168156e-25,1.4405988415804793e-16,-2.1045688511711718e-23,0.13522402942180634,0.09654233604669571,294,0.06716836243867874,0.10542015731334686,363,129.8416838842975,74.59438634298358,114,112.87144089732529,96.5197074985206,0.016120686223779008,20.711663181057993,0.00015020336392769385
segmentation_by_color.png,5969.62101934958,136.48868898353433,77.26332260102188,-106120230.0,1337.532386318229,0.26565717534163114,14.952988891552785,0.16639642751285733,0.8669136743128797,1.52587890625e-05,0.0006498069159487437,7.369028028356911,0.0008015365463358335,7.942481168267964e-08,4.070646679331237e-12,4.775031905098581e-12,-5.208945130168156e-25,1.4405988415804793e-16,-2.1045688511711718e-23,0.13522402942180634,0.09654233604669571,294,0.06716836243867874,0.10542015731334686,363,129.8416838842975,74.59438634298358,114,112.87144089732529,96.5197074985206,0.016120686223779008,20.711663181057993,0.00015020336392769385
segmentation_region_growing.png,16254.57522012437,128.79413286629782,127.4934320666142,-107579030.0,18211.46907216495,0.7199355785045221,71.41752577319588,0.546273034699696,0.4398127263231714,1.52587890625e-05,0.0021338244853715657,1.286103634156332,0.0013877131424284265,2.3523924953808473e-07,8.196029013860341e-11,1.4694009202747068e-10,8.081772413052145e-21,4.678167703472456e-14,-1.395405051085695e-20,0.11710917204618454,0.1182374432682991,939,0.07191243022680283,0.1022428572177887,436,136.84009461009174,74.17604173234243,554,114.18225128721075,95.91316562921281,0.05437248736217808,70.57455131986887,0.0007363799786939259
