Imagen,Varianza,Media,Desviación estándar,Entropía,Contraste,Homogeneidad,Disimilitud,Energía,Correlación,Media GLCM,Desviación GLCM,Entropía GLCM,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,HOG_mean,HOG_std,KAZE_count,KAZE_mean,KAZE_std,ORB_count,ORB_mean,ORB_std,AKAZE_count,AKAZE_mean,AKAZE_std,LoG_mean,LoG_std,Distancia ecluediana imagen original
binary.png,16200.293664720091,120.0196032672112,127.2803742323226,-2564806000.0,4091.1331980947234,0.937084655397922,16.043659600371466,0.6653997644331601,0.8737343612284412,1.52587890625e-05,0.0025991730408333924,0.9262337427204309,0.0011728425825220591,2.8237321528836927e-07,1.0295651671471885e-10,1.1351544128372163e-10,3.613472844895121e-21,4.010327555681486e-14,1.1727771629521539e-20,0.06879864633083344,0.12161627411842346,16807,0.06603226810693741,0.10613550245761871,500,132.1274375,74.44964370085054,12590,114.44345369080327,95.82382987702474,-0.0016826137689614936,45.10392302145917,1.1757676599539666e-05
binary_resized.png,14771.637660937498,120.01375,121.53862620968488,-708807800.0,4478.209429604895,0.7761591560733581,26.303107957707276,0.5420993933492946,0.8484123488092602,1.5258789062500007e-05,0.002117520778803965,2.865460735163765,0.0010644677086429906,4.945224575868491e-08,9.376908796460116e-11,7.028552199908485e-11,-3.0072890355236275e-21,-9.872015114674843e-15,-4.849142443662311e-21,0.09589096158742905,0.11802475154399872,4304,0.06568649411201477,0.10634981095790863,500,133.099875,74.2906195288771,3211,113.88041108688881,96.72386603364447,-0.0070305555555555555,40.16450171225221,9.66174584722722e-05
blur.png,2567.2429072727323,118.74077272137949,50.66796726998955,-2234055000.0,9.504636696732087,0.41702467898555334,2.0851761929189667,0.03258046025341079,0.9966497586651525,1.52587890625e-05,0.00012634938179118967,7.314603982979422,0.0011301575461930865,3.0182952110292515e-07,2.0495007199836253e-10,9.512978956593378e-11,6.775536334220664e-21,3.884638235462784e-14,1.1425076151717017e-20,0.11966928839683533,0.11554501205682755,984,0.06193111836910248,0.10857963562011719,421,128.88865795724465,73.60634232364376,651,107.70751177255673,96.1216049646464,-0.0001602489303772851,2.808361960571667,3.0927378294561465e-05
dilated.png,1125.329620743109,140.86952936600545,33.54593299854856,-2706450200.0,27.392456114266768,0.6097969318699217,2.437132339490426,0.05510721045691837,0.987825054165382,1.52587890625e-05,0.00021472105357509243,6.9696209505185065,0.0009265046880890318,1.3556500758795615e-07,7.157146782131268e-12,2.378184995321652e-11,2.9471673547552425e-22,8.016136039383406e-15,9.699953940451632e-23,0.12446805834770203,0.11033916473388672,1496,0.06172897666692734,0.10869467258453369,500,129.4448125,74.41265990636165,1223,108.23429352706995,96.03209956046982,0.003219758848697005,4.917803856127447,0.00023458026202274185
edges.png,9484.880517285757,45.211668611435236,97.390351253529,-966167900.0,12305.997055213005,0.8107526673144125,48.25881198122747,0.7448324716045789,0.3514162835498999,1.52587890625e-05,0.002909461829815419,0.8834731967411247,0.0038388572592569,6.778504095285495e-06,4.003685866844306e-10,1.0953871978616482e-09,4.9887971024415046e-20,8.276338091957481e-13,7.236890853121337e-19,0.08736629784107208,0.1183873787522316,15726,0.07423891127109528,0.10056629776954651,500,121.7241875,75.09151077162346,15586,121.54296520837322,94.1577205424703,0.006602878257487359,62.29527049889385,0.0026777802532266886
emboss.png,3447.6491446279024,122.37511940879035,58.7166854022594,-2337151200.0,965.1976626969521,0.10460019188457825,19.54425859947083,0.02659002587273136,0.8600173765592465,1.5258789062499997e-05,0.00010274036689765731,9.696981924625035,0.0013082529945218095,3.4496893192818716e-07,1.615699492433693e-11,8.947418531637905e-11,2.013966502762318e-21,3.760055100615513e-14,2.7417420146528344e-21,0.14119641482830048,0.08811976760625839,12158,0.06787347048521042,0.10496759414672852,500,127.0801875,73.86846338231793,12661,119.33821558652426,96.53558198132689,0.0008269155970439517,32.58853272675468,0.00014716810219482878
gaussian_blur.png,2612.204431224993,118.74264307014133,51.10972932059994,-2235274200.0,16.496523158574018,0.3478129847125557,2.770292602691954,0.027860854301152864,0.9943652285759308,1.52587890625e-05,0.00010775646849350009,7.612401153643702,0.0011360611836024347,2.924540277315211e-07,1.7920320679631257e-10,9.908862604237703e-11,6.030486761145411e-21,3.893587774789001e-14,1.1746545044398724e-20,0.12453396618366241,0.11032231152057648,1193,0.06099099665880203,0.10911048203706741,500,128.7913125,73.70420196316722,799,107.5506062906502,96.352626091572,-0.000249708284714119,4.135305948265418,2.5023734891212568e-05
gradient.png,600.1046469130328,36.14883547257876,24.497033430867354,-529110900.0,42.73999235585295,0.4133182971849383,3.7138380079134827,0.04318714908965517,0.9643914641787795,1.52587890625e-05,0.00016800831008656134,7.174611291974593,0.06554094153735018,0.0015887974893934649,0.0004601044542661443,0.0004036132007218663,1.7390325499917628e-07,1.6062689301889682e-05,-3.0900927392892176e-09,0.14058879017829895,0.08905156701803207,1600,0.061252743005752563,0.10896375775337219,500,122.975,72.80385978778872,1334,126.03353651043331,95.52060445822347,0.006264488525865422,6.438615668346594,0.06440236183132182
gray_scale.png,1570.1746290687754,122.49355892648775,39.62542907109998,-2301277200.0,77.7188611933432,0.2372294421070213,5.659317802689151,0.020215408899872733,0.9752482597284883,1.52587890625e-05,7.747817862431847e-05,8.335513556851287,0.0011610849103097702,2.7221606823629833e-07,9.447474223103119e-11,1.0865623263935532e-10,3.388432109146679e-21,3.828552135433139e-14,1.0474355170009275e-20,0.13033193349838257,0.10342924296855927,1467,0.06031138822436333,0.10948760062456131,500,129.7755,73.90193146833172,964,108.1731854975852,96.80692773618392,-0.0003578374173473357,8.53676743038933,0.0
morph_close.png,1384.51662941197,129.562514974718,37.20909336992733,-2455753500.0,24.439448936397113,0.6199854606211503,2.257127466541288,0.05192261223095791,0.9911725960793101,1.52587890625e-05,0.0002022479137722882,7.026221428368258,0.0010412353077996405,1.4560294839343993e-07,1.88336436373207e-11,5.925516144845165e-11,9.213619044220406e-22,1.8524459823530722e-14,1.7520072993555076e-21,0.12279287725687027,0.1121918112039566,1410,0.06023012101650238,0.10953233391046524,500,131.094125,74.59878025466888,999,107.40537258570045,96.59825964311058,-0.0025935433683391676,4.584231793678947,0.0001198496693893077
